agent_id,environment_name,eval_episode_return,frame,normalized_return,seed
FGULMCDQN,alien,100.0,0,-0.018522007565327035,0
FGULMCDQN,alien,282.0,400000,0.007855186307047927,0
FGULMCDQN,alien,340.0,800000,0.01626110523340918,0
FGULMCDQN,alien,304.0,1200000,0.011043638313598747,0
FGULMCDQN,alien,260.0,1600000,0.004666734300497107,0
FGULMCDQN,alien,328.0,2000000,0.014521949593472368,0
FGULMCDQN,alien,326.0,2400000,0.014232090320149566,0
FGULMCDQN,alien,518.0,2800000,0.04205858055913854,0
FGULMCDQN,alien,446.0,3200000,0.03162364671951767,0
FGULMCDQN,alien,402.0,3600000,0.025246742706416036,0
FGULMCDQN,alien,532.0,4000000,0.04408759547239815,0
FGULMCDQN,alien,536.0,4400000,0.04466731401904375,0
FGULMCDQN,alien,580.0,4800000,0.05104421803214539,0
FGULMCDQN,alien,442.0,5200000,0.03104392817287207,0
FGULMCDQN,alien,458.0,5600000,0.033362802359454484,0
FGULMCDQN,alien,518.0,6000000,0.04205858055913854,0
FGULMCDQN,alien,530.0,6400000,0.04379773619907535,0
FGULMCDQN,alien,496.0,6800000,0.03887012855258772,0
FGULMCDQN,alien,672.0,7200000,0.06437774460499428,0
FGULMCDQN,alien,798.0,7600000,0.0826388788243308,0
FGULMCDQN,alien,598.0,8000000,0.05365295149205061,0
FGULMCDQN,alien,758.0,8400000,0.07684169335787476,0
FGULMCDQN,alien,996.0,8800000,0.11133494688328818,0
FGULMCDQN,alien,912.0,9200000,0.0991608574037305,0
FGULMCDQN,alien,844.0,9600000,0.08930564211075524,0
FGULMCDQN,alien,706.0,10000000,0.0693053522514819,0
FGULMCDQN,alien,1036.0,10400000,0.1171321323497442,0
FGULMCDQN,alien,1038.0,10800000,0.11742199162306702,0
FGULMCDQN,alien,1068.0,11200000,0.12176988072290904,0
FGULMCDQN,alien,716.0,11600000,0.07075464861809591,0
FGULMCDQN,alien,906.0,12000000,0.09829127958376209,0
FGULMCDQN,alien,1054.0,12400000,0.11974086580964943,0
FGULMCDQN,alien,1050.0,12800000,0.11916114726300382,0
FGULMCDQN,alien,1252.0,13200000,0.14843693386860682,0
FGULMCDQN,alien,962.0,13600000,0.10640733923680054,0
FGULMCDQN,alien,1028.0,14000000,0.115972695256453,0
FGULMCDQN,alien,1044.0,14400000,0.11829156944303541,0
