agent_id,environment_name,eval_episode_return,frame,normalized_return,seed
FGLMCDQN,alien,0.0,0,-0.03301497123146713,0
FGLMCDQN,alien,360.0,400000,0.019159697966637197,0
FGLMCDQN,alien,448.0,800000,0.03191350599284048,0
FGLMCDQN,alien,488.0,1200000,0.037710691459296515,0
FGLMCDQN,alien,530.0,1600000,0.04379773619907535,0
FGLMCDQN,alien,592.0,2000000,0.052783373672082204,0
FGLMCDQN,alien,686.0,2400000,0.0664067595182539,0
FGLMCDQN,alien,766.0,2800000,0.07800113045116597,0
FGLMCDQN,alien,642.0,3200000,0.06002985550515225,0
FGLMCDQN,alien,704.0,3600000,0.06901549297815911,0
FGLMCDQN,alien,684.0,4000000,0.06611690024493108,0
FGLMCDQN,alien,764.0,4400000,0.07771127117784317,0
FGLMCDQN,alien,1022.0,4800000,0.1151031174364846,0
FGLMCDQN,alien,786.0,5200000,0.08089972318439399,0
FGLMCDQN,alien,642.0,5600000,0.06002985550515225,0
FGLMCDQN,alien,1502.0,6000000,0.18466934303395702,0
FGLMCDQN,alien,972.0,6400000,0.10785663560341456,0
FGLMCDQN,alien,954.0,6800000,0.10524790214350933,0
FGLMCDQN,alien,1706.0,7200000,0.2142349889128828,0
FGLMCDQN,alien,1112.0,7600000,0.12814678473601068,0
FGLMCDQN,alien,1186.0,8000000,0.13887157784895435,0
FGLMCDQN,alien,1288.0,8400000,0.15365440078841724,0
FGLMCDQN,alien,928.0,8800000,0.10147973159031291,0
FGLMCDQN,alien,1148.0,9200000,0.1333642516558211,0
FGLMCDQN,alien,1280.0,9600000,0.15249496369512602,0
FGLMCDQN,alien,1280.0,10000000,0.15249496369512602,0
FGLMCDQN,alien,1138.0,10400000,0.1319149552892071,0
FGLMCDQN,alien,1674.0,10800000,0.20959724053971798,0
FGLMCDQN,alien,1380.0,11200000,0.1669879273612661,0
FGLMCDQN,alien,1780.0,11600000,0.22495978202582648,0
FGLMCDQN,alien,1850.0,12000000,0.23510485659212454,0
FGLMCDQN,alien,1752.0,12400000,0.22090175219930724,0
FGLMCDQN,alien,1522.0,12800000,0.18756793576718506,0
FGLMCDQN,alien,1680.0,13200000,0.2104668183596864,0
FGLMCDQN,alien,1336.0,13600000,0.1606110233481645,0
FGLMCDQN,alien,1962.0,14000000,0.2513369758982014,0
FGLMCDQN,alien,1430.0,14400000,0.17423440919433617,0
FGLMCDQN,alien,2098.0,14800000,0.271047406484152,0
FGLMCDQN,alien,1738.0,15200000,0.21887273728604764,0
FGLMCDQN,alien,1794.0,15600000,0.22698879693908608,0
FGLMCDQN,alien,1758.0,16000000,0.22177133001927565,0
FGLMCDQN,alien,1760.0,16400000,0.22206118929259847,0
FGLMCDQN,alien,1374.0,16800000,0.16611834954129773,0
FGLMCDQN,alien,1858.0,17200000,0.23626429368541574,0
FGLMCDQN,alien,1588.0,17600000,0.1971332917868375,0
FGLMCDQN,alien,1770.0,18000000,0.22351048565921247,0
FGLMCDQN,alien,1792.0,18400000,0.2266989376657633,0
FGLMCDQN,alien,1784.0,18800000,0.22553950057247207,0
FGLMCDQN,alien,1758.0,19200000,0.22177133001927565,0
FGLMCDQN,alien,1580.0,19600000,0.1959738546935463,0
FGLMCDQN,alien,1296.0,20000000,0.15481383788170844,0
FGLMCDQN,alien,1928.0,20400000,0.2464093682517138,0
FGLMCDQN,alien,2304.0,20800000,0.30090291163640054,0
FGLMCDQN,alien,2096.0,21200000,0.2707575472108292,0
FGLMCDQN,alien,1606.0,21600000,0.19974202524674273,0
FGLMCDQN,alien,1530.0,22000000,0.18872737286047625,0
FGLMCDQN,alien,1634.0,22400000,0.20380005507326196,0
FGLMCDQN,alien,1928.0,22800000,0.2464093682517138,0
FGLMCDQN,alien,1524.0,23200000,0.18785779504050784,0
FGLMCDQN,alien,2112.0,23600000,0.27307642139741156,0
FGLMCDQN,alien,1832.0,24000000,0.23249612313221932,0
FGLMCDQN,alien,1632.0,24400000,0.20351019579993915,0
FGLMCDQN,alien,1918.0,24800000,0.2449600718850998,0
FGLMCDQN,alien,1700.0,25200000,0.2133654110929144,0
FGLMCDQN,alien,1720.0,25600000,0.21626400382614241,0
FGLMCDQN,alien,1716.0,26000000,0.21568428527949682,0
FGLMCDQN,alien,2018.0,26400000,0.2594530355512399,0
FGLMCDQN,alien,1988.0,26800000,0.25510514645139787,0
FGLMCDQN,alien,1502.0,27200000,0.18466934303395702,0
FGLMCDQN,alien,1644.0,27600000,0.20524935143987597,0
FGLMCDQN,alien,1502.0,28000000,0.18466934303395702,0
FGLMCDQN,alien,1596.0,28400000,0.19829272888012872,0
FGLMCDQN,alien,1530.0,28800000,0.18872737286047625,0
FGLMCDQN,alien,1516.0,29200000,0.18669835794721665,0
FGLMCDQN,alien,1830.0,29600000,0.23220626385889653,0
FGLMCDQN,alien,1510.0,30000000,0.18582878012724824,0
FGLMCDQN,alien,1536.0,30400000,0.18959695068044466,0
FGLMCDQN,alien,1802.0,30800000,0.2281482340323773,0
FGLMCDQN,alien,1782.0,31200000,0.2252496412991493,0
FGLMCDQN,alien,1644.0,31600000,0.20524935143987597,0
FGLMCDQN,alien,1934.0,32000000,0.24727894607168222,0
FGLMCDQN,alien,1724.0,32400000,0.21684372237278804,0
FGLMCDQN,alien,1518.0,32800000,0.18698821722053943,0
FGLMCDQN,alien,2518.0,33200000,0.3319178538819403,0
FGLMCDQN,alien,1620.0,33600000,0.20177104016000233,0
FGLMCDQN,alien,1530.0,34000000,0.18872737286047625,0
FGLMCDQN,alien,1814.0,34400000,0.22988738967231412,0
